locus_tag	ftype	length_bp	gene	EC_number	COG	product
IFLAKNEJ_04239	CDS	384				hypothetical protein
IFLAKNEJ_04240	CDS	210				hypothetical protein
IFLAKNEJ_04241	CDS	1269				hypothetical protein
IFLAKNEJ_04242	CDS	705				IS6 family transposase IS26
IFLAKNEJ_04243	CDS	837				hypothetical protein
IFLAKNEJ_04244	CDS	804	neo_2	2.7.1.95		Aminoglycoside 3'-phosphotransferase
IFLAKNEJ_04245	CDS	816	folP_4	2.5.1.15	COG0294	Dihydropteroate synthase
IFLAKNEJ_04246	CDS	852				hypothetical protein
IFLAKNEJ_04247	CDS	708	repA_2			Regulatory protein RepA
IFLAKNEJ_04248	CDS	705				IS6 family transposase IS26
IFLAKNEJ_04249	CDS	705				IS6 family transposase IS26
IFLAKNEJ_04250	CDS	780	folP_5	2.5.1.15	COG0294	Dihydropteroate synthase
IFLAKNEJ_04251	CDS	348	emrE_3		COG2076	Multidrug transporter EmrE
IFLAKNEJ_04252	CDS	549	dhfrI_2	1.5.1.3		Dihydrofolate reductase type 1
IFLAKNEJ_04253	CDS	1014	xerC_7			Tyrosine recombinase XerC
IFLAKNEJ_04254	CDS	201				hypothetical protein
IFLAKNEJ_04255	CDS	561	hin_3		COG1961	DNA-invertase hin
IFLAKNEJ_04256	CDS	2967				Tn3 family transposase TnAs3
IFLAKNEJ_04257	CDS	90				hypothetical protein
IFLAKNEJ_04258	CDS	186				IS66 family transposase IS682
IFLAKNEJ_04259	CDS	2238	sepA_1	3.4.21.-	COG3468	Serine protease SepA autotransporter
IFLAKNEJ_04260	CDS	1590	sepA_2	3.4.21.-	COG3468	Serine protease SepA autotransporter
IFLAKNEJ_04261	CDS	138				hypothetical protein
IFLAKNEJ_04262	CDS	258				hypothetical protein
IFLAKNEJ_04263	CDS	801				hypothetical protein
IFLAKNEJ_04264	CDS	648				hypothetical protein
IFLAKNEJ_04265	CDS	384	traM			Relaxosome protein TraM
IFLAKNEJ_04266	CDS	471	traJ			Protein TraJ
IFLAKNEJ_04267	CDS	267			COG1662	IS1 family transposase IS1S
IFLAKNEJ_04268	CDS	276			COG1662	IS1 family transposase IS1A
IFLAKNEJ_04269	CDS	675	traI_1			Multifunctional conjugation protein TraI
IFLAKNEJ_04270	CDS	3696	traI_2			Multifunctional conjugation protein TraI
IFLAKNEJ_04271	CDS	747				hypothetical protein
IFLAKNEJ_04272	CDS	561	finO			Fertility inhibition protein
IFLAKNEJ_04273	CDS	435				hypothetical protein
IFLAKNEJ_04274	CDS	297				hypothetical protein
IFLAKNEJ_04275	CDS	276				hypothetical protein
IFLAKNEJ_04276	CDS	255				hypothetical protein
IFLAKNEJ_04277	CDS	681				hypothetical protein
IFLAKNEJ_04278	CDS	279				hypothetical protein
IFLAKNEJ_04279	CDS	276				hypothetical protein
IFLAKNEJ_04280	CDS	183				hypothetical protein
IFLAKNEJ_04281	CDS	258				hypothetical protein
IFLAKNEJ_04282	CDS	741	xerC_8			Tyrosine recombinase XerC
IFLAKNEJ_04283	CDS	120				hypothetical protein
IFLAKNEJ_04284	CDS	978	repB			RepFIB replication protein A
IFLAKNEJ_04285	CDS	252				hypothetical protein
IFLAKNEJ_04286	CDS	429	vapC_2	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
IFLAKNEJ_04287	CDS	231				hypothetical protein
IFLAKNEJ_04288	CDS	219	ccdA			Antitoxin CcdA
IFLAKNEJ_04289	CDS	306	ccdB			Toxin CcdB
IFLAKNEJ_04290	CDS	807	xerC_9			Tyrosine recombinase XerC
IFLAKNEJ_04291	CDS	645				hypothetical protein
IFLAKNEJ_04292	CDS	309				hypothetical protein
IFLAKNEJ_04293	CDS	981	parM_2			Plasmid segregation protein ParM
IFLAKNEJ_04294	CDS	417				hypothetical protein
IFLAKNEJ_04295	CDS	1188	umuC_1		COG0389	Protein UmuC
IFLAKNEJ_04296	CDS	378	umuD_1	3.4.21.-	COG1974	Protein UmuD
IFLAKNEJ_04297	CDS	612	tnpR_1		COG1961	Transposon gamma-delta resolvase
IFLAKNEJ_04298	CDS	180				hypothetical protein
IFLAKNEJ_04299	CDS	597	caf1M		COG3121	Chaperone protein caf1M
IFLAKNEJ_04300	CDS	2385	caf1A		COG3188	F1 capsule-anchoring protein
IFLAKNEJ_04301	CDS	297	aggB			Protein AggB
IFLAKNEJ_04302	CDS	504				hypothetical protein
IFLAKNEJ_04303	CDS	570				hypothetical protein
IFLAKNEJ_04304	CDS	402				hypothetical protein
IFLAKNEJ_04305	CDS	411				hypothetical protein
IFLAKNEJ_04306	CDS	1380				ISL3 family transposase ISEc38
IFLAKNEJ_04307	CDS	1035	php_2		COG1735	Phosphotriesterase homology protein
IFLAKNEJ_04308	CDS	264				hypothetical protein
IFLAKNEJ_04309	CDS	609				hypothetical protein
IFLAKNEJ_04310	CDS	759				hypothetical protein
IFLAKNEJ_04311	CDS	1215	RBKS	2.7.1.15		Ribokinase
IFLAKNEJ_04312	CDS	117				hypothetical protein
IFLAKNEJ_04313	CDS	546	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
IFLAKNEJ_04314	CDS	744	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
IFLAKNEJ_04315	CDS	1080	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
IFLAKNEJ_04316	CDS	936	erfK	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
IFLAKNEJ_04317	tRNA	76				tRNA-Asn(gtt)
IFLAKNEJ_04318	CDS	918	gltC_2			HTH-type transcriptional regulator GltC
IFLAKNEJ_04319	CDS	951	cbl			HTH-type transcriptional regulator cbl
IFLAKNEJ_04320	tRNA	76				tRNA-Asn(gtt)
IFLAKNEJ_04321	CDS	1455	yeeO		COG0534	putative FMN/FAD exporter YeeO
IFLAKNEJ_04322	tRNA	76				tRNA-Asn(gtt)
IFLAKNEJ_04323	CDS	717	yeeN		COG0217	putative transcriptional regulatory protein YeeN
IFLAKNEJ_04324	CDS	1455	amn	3.2.2.4	COG0775	AMP nucleosidase
IFLAKNEJ_04325	CDS	1317	abaF_2			Fosfomycin resistance protein AbaF
IFLAKNEJ_04326	CDS	1053				hypothetical protein
IFLAKNEJ_04327	CDS	648				hypothetical protein
IFLAKNEJ_04328	CDS	1263				hypothetical protein
IFLAKNEJ_04329	CDS	711				hypothetical protein
IFLAKNEJ_04330	CDS	2022	fyuA		COG1629	Pesticin receptor
IFLAKNEJ_04331	CDS	1578	dhbE	6.3.2.-	COG1021	2,3-dihydroxybenzoate-AMP ligase
IFLAKNEJ_04332	CDS	804	pikAV	3.1.2.-		Thioesterase PikA5
IFLAKNEJ_04333	CDS	1101				hypothetical protein
IFLAKNEJ_04334	CDS	9492	COQ5	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
IFLAKNEJ_04335	CDS	6108	dltA	6.2.1.54		D-alanine--D-alanyl carrier protein ligase
IFLAKNEJ_04336	CDS	960				hypothetical protein
IFLAKNEJ_04337	CDS	1713	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
IFLAKNEJ_04338	CDS	1803		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
IFLAKNEJ_04339	CDS	1281	ampG_2		COG0477	Anhydromuropeptide permease
IFLAKNEJ_04340	CDS	1305	mbtI	5.4.99.5	COG0147	Salicylate synthase
IFLAKNEJ_04341	CDS	1263	intA_3		COG0582	Prophage integrase IntA
IFLAKNEJ_04342	tRNA	76				tRNA-Asn(gtt)
IFLAKNEJ_04343	CDS	798	mtfA		COG3228	Protein MtfA
IFLAKNEJ_04344	tRNA	90				tRNA-Ser(cga)
IFLAKNEJ_04345	CDS	651	zinT		COG3443	Metal-binding protein ZinT
IFLAKNEJ_04346	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
IFLAKNEJ_04347	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
IFLAKNEJ_04348	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
IFLAKNEJ_04349	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
IFLAKNEJ_04350	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
IFLAKNEJ_04351	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
IFLAKNEJ_04352	CDS	1152			COG2826	IS30 family transposase IS30
IFLAKNEJ_04353	CDS	351				hypothetical protein
IFLAKNEJ_04354	CDS	675	yedS_1		COG3203	Outer membrane protein YedS
IFLAKNEJ_04355	CDS	393	yedS_2		COG3203	Outer membrane protein YedS
IFLAKNEJ_04356	CDS	90				hypothetical protein
IFLAKNEJ_04357	CDS	303	yedR			Inner membrane protein YedR
IFLAKNEJ_04358	CDS	696	yedJ		COG1418	putative protein YedJ
IFLAKNEJ_04359	CDS	1419	dcm	2.1.1.37	COG0270	DNA-cytosine methyltransferase
IFLAKNEJ_04360	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
IFLAKNEJ_04361	CDS	921	yedA			putative inner membrane transporter YedA
IFLAKNEJ_04362	CDS	918	yedI		COG2354	Inner membrane protein YedI
IFLAKNEJ_04363	CDS	183				hypothetical protein
IFLAKNEJ_04364	CDS	936	dgcQ_1	2.7.7.65		putative diguanylate cyclase DgcQ
IFLAKNEJ_04365	CDS	756	dgcQ_2	2.7.7.65		putative diguanylate cyclase DgcQ
IFLAKNEJ_04366	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
IFLAKNEJ_04367	CDS	228				hypothetical protein
IFLAKNEJ_04368	CDS	189	dsrB			Protein DsrB
IFLAKNEJ_04369	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
IFLAKNEJ_04370	CDS	786	fliR		COG1684	Flagellar biosynthetic protein FliR
IFLAKNEJ_04371	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
IFLAKNEJ_04372	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
IFLAKNEJ_04373	CDS	366	fliO		COG3190	Flagellar protein FliO
IFLAKNEJ_04374	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
IFLAKNEJ_04375	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
IFLAKNEJ_04376	CDS	465				hypothetical protein
IFLAKNEJ_04377	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
IFLAKNEJ_04378	CDS	444	fliJ		COG2882	Flagellar FliJ protein
IFLAKNEJ_04379	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
IFLAKNEJ_04380	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
IFLAKNEJ_04381	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
IFLAKNEJ_04382	CDS	1659	fliF		COG1766	Flagellar M-ring protein
IFLAKNEJ_04383	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
IFLAKNEJ_04384	CDS	333	emrE_4		COG2076	Multidrug transporter EmrE
IFLAKNEJ_04385	CDS	552				hypothetical protein
IFLAKNEJ_04386	CDS	798	rhaS_5			HTH-type transcriptional activator RhaS
IFLAKNEJ_04387	CDS	270				hypothetical protein
IFLAKNEJ_04388	CDS	498	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
IFLAKNEJ_04389	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
IFLAKNEJ_04390	CDS	1206				hypothetical protein
IFLAKNEJ_04391	CDS	414				hypothetical protein
IFLAKNEJ_04392	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
IFLAKNEJ_04393	CDS	366	fliT			Flagellar protein FliT
IFLAKNEJ_04394	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
IFLAKNEJ_04395	CDS	1416	fliD		COG1345	Flagellar hook-associated protein 2
IFLAKNEJ_04396	CDS	1050	fliC2		COG1344	Flagellin 2
IFLAKNEJ_04397	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
IFLAKNEJ_04398	CDS	552	fliZ			Regulator of sigma S factor FliZ
IFLAKNEJ_04399	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
IFLAKNEJ_04400	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
IFLAKNEJ_04401	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
IFLAKNEJ_04402	CDS	753	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
IFLAKNEJ_04403	CDS	723	sdiA		COG2771	Regulatory protein SdiA
IFLAKNEJ_04404	CDS	225				hypothetical protein
IFLAKNEJ_04405	CDS	657	uvrY		COG2197	Response regulator UvrY
IFLAKNEJ_04406	CDS	1833	uvrC		COG0322	UvrABC system protein C
IFLAKNEJ_04407	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
IFLAKNEJ_04408	tRNA	76				tRNA-Gly(gcc)
IFLAKNEJ_04409	tRNA	74				tRNA-Cys(gca)
IFLAKNEJ_04410	tRNA	87				tRNA-Leu(taa)
IFLAKNEJ_04411	CDS	666				hypothetical protein
IFLAKNEJ_04412	CDS	1212	tyrP		COG0814	Tyrosine-specific transport protein
IFLAKNEJ_04413	CDS	240				hypothetical protein
IFLAKNEJ_04414	CDS	498	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
IFLAKNEJ_04415	CDS	324				hypothetical protein
IFLAKNEJ_04416	CDS	252				hypothetical protein
IFLAKNEJ_04417	CDS	504	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
IFLAKNEJ_04418	CDS	990	araF		COG1879	L-arabinose-binding periplasmic protein
IFLAKNEJ_04419	CDS	1515	araG	7.5.2.12	COG1129	Arabinose import ATP-binding protein AraG
IFLAKNEJ_04420	CDS	987	araH		COG1172	L-arabinose transport system permease protein AraH
IFLAKNEJ_04421	CDS	801	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
IFLAKNEJ_04422	CDS	1425	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
IFLAKNEJ_04423	CDS	429	uspC		COG0589	Universal stress protein C
IFLAKNEJ_04424	CDS	351	flhD			Flagellar transcriptional regulator FlhD
IFLAKNEJ_04425	CDS	579	flhC			Flagellar transcriptional regulator FlhC
IFLAKNEJ_04426	CDS	888	motA		COG1291	Motility protein A
IFLAKNEJ_04427	CDS	927	motB		COG1360	Motility protein B
IFLAKNEJ_04428	CDS	1965	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
IFLAKNEJ_04429	CDS	504	cheW		COG0835	Chemotaxis protein CheW
IFLAKNEJ_04430	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
IFLAKNEJ_04431	CDS	1602	tap		COG0840	Methyl-accepting chemotaxis protein IV
IFLAKNEJ_04432	CDS	861	cheR	2.1.1.80		Chemotaxis protein methyltransferase
IFLAKNEJ_04433	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
IFLAKNEJ_04434	CDS	390	cheY		COG0784	Chemotaxis protein CheY
IFLAKNEJ_04435	CDS	645	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
IFLAKNEJ_04436	CDS	1149	flhB		COG1377	Flagellar biosynthetic protein FlhB
IFLAKNEJ_04437	CDS	2079	flhA_2		COG1298	Flagellar biosynthesis protein FlhA
IFLAKNEJ_04438	CDS	393	flhE			Flagellar protein FlhE
IFLAKNEJ_04439	CDS	489				hypothetical protein
IFLAKNEJ_04440	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
IFLAKNEJ_04441	CDS	567	yecM		COG3102	Protein YecM
IFLAKNEJ_04442	CDS	747	cutC_2		COG3142	Copper homeostasis protein CutC
IFLAKNEJ_04443	CDS	1101	torY		COG3005	Cytochrome c-type protein TorY
IFLAKNEJ_04444	CDS	2430	torZ	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 2
IFLAKNEJ_04445	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
IFLAKNEJ_04446	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
IFLAKNEJ_04447	CDS	396	yecN		COG3788	Inner membrane protein YecN
IFLAKNEJ_04448	CDS	726				hypothetical protein
IFLAKNEJ_04449	CDS	1311	intQ_1		COG0582	Putative defective protein IntQ
IFLAKNEJ_04450	CDS	237				hypothetical protein
IFLAKNEJ_04451	CDS	147				hypothetical protein
IFLAKNEJ_04452	CDS	243				hypothetical protein
IFLAKNEJ_04453	CDS	759				hypothetical protein
IFLAKNEJ_04454	CDS	516				hypothetical protein
IFLAKNEJ_04455	CDS	549				hypothetical protein
IFLAKNEJ_04456	CDS	240				hypothetical protein
IFLAKNEJ_04457	CDS	204				hypothetical protein
IFLAKNEJ_04458	CDS	363				hypothetical protein
IFLAKNEJ_04459	CDS	537				hypothetical protein
IFLAKNEJ_04460	CDS	825				hypothetical protein
IFLAKNEJ_04461	CDS	363				hypothetical protein
IFLAKNEJ_04462	CDS	648			COG2932	putative HTH-type transcriptional regulator
IFLAKNEJ_04463	CDS	261				hypothetical protein
IFLAKNEJ_04464	CDS	558				hypothetical protein
IFLAKNEJ_04465	CDS	1146				hypothetical protein
IFLAKNEJ_04466	CDS	225				hypothetical protein
IFLAKNEJ_04467	CDS	819				hypothetical protein
IFLAKNEJ_04468	CDS	489				hypothetical protein
IFLAKNEJ_04469	CDS	654				hypothetical protein
IFLAKNEJ_04470	CDS	327	lexA_3	3.4.21.88	COG1974	LexA repressor
IFLAKNEJ_04471	CDS	396	rusA_3	3.1.22.4	COG4570	Crossover junction endodeoxyribonuclease RusA
IFLAKNEJ_04472	CDS	816				hypothetical protein
IFLAKNEJ_04473	CDS	990				hypothetical protein
IFLAKNEJ_04474	CDS	342				hypothetical protein
IFLAKNEJ_04475	CDS	549				hypothetical protein
IFLAKNEJ_04476	CDS	927				hypothetical protein
IFLAKNEJ_04477	CDS	204				hypothetical protein
IFLAKNEJ_04478	CDS	1050				hypothetical protein
IFLAKNEJ_04479	tRNA	76				tRNA-Met(cat)
IFLAKNEJ_04480	tRNA	77				tRNA-Arg(tcg)
IFLAKNEJ_04481	tRNA	77				tRNA-Arg(tct)
IFLAKNEJ_04482	CDS	213				hypothetical protein
IFLAKNEJ_04483	CDS	687	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
IFLAKNEJ_04484	CDS	426				hypothetical protein
IFLAKNEJ_04485	CDS	963				hypothetical protein
IFLAKNEJ_04486	CDS	426				hypothetical protein
IFLAKNEJ_04487	CDS	255				hypothetical protein
IFLAKNEJ_04488	CDS	420				hypothetical protein
IFLAKNEJ_04489	CDS	234				hypothetical protein
IFLAKNEJ_04490	CDS	339				hypothetical protein
IFLAKNEJ_04491	CDS	195				hypothetical protein
IFLAKNEJ_04492	CDS	189				hypothetical protein
IFLAKNEJ_04493	CDS	192				hypothetical protein
IFLAKNEJ_04494	CDS	2472				hypothetical protein
IFLAKNEJ_04495	CDS	1131				hypothetical protein
IFLAKNEJ_04496	CDS	639	ompW		COG3047	Outer membrane protein W
IFLAKNEJ_04497	CDS	744				hypothetical protein
IFLAKNEJ_04498	CDS	540	yciB		COG2917	putative intracellular septation protein A
IFLAKNEJ_04499	CDS	399		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
IFLAKNEJ_04500	CDS	735	tonB		COG0810	Protein TonB
IFLAKNEJ_04501	CDS	393				hypothetical protein
IFLAKNEJ_04502	CDS	1254	kch		COG1226	Voltage-gated potassium channel Kch
IFLAKNEJ_04503	CDS	1461	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
IFLAKNEJ_04504	CDS	330				hypothetical protein
IFLAKNEJ_04505	CDS	1005	btuD_3	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
IFLAKNEJ_04506	CDS	1014	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
IFLAKNEJ_04507	CDS	909	oppC		COG1173	Oligopeptide transport system permease protein OppC
IFLAKNEJ_04508	CDS	921	oppB		COG0601	Oligopeptide transport system permease protein OppB
IFLAKNEJ_04509	CDS	1677	oppA		COG4166	Periplasmic oligopeptide-binding protein
IFLAKNEJ_04510	CDS	162				hypothetical protein
IFLAKNEJ_04511	CDS	156				hypothetical protein
IFLAKNEJ_04512	CDS	648				hypothetical protein
IFLAKNEJ_04513	CDS	2676	adhE		COG1012	Aldehyde-alcohol dehydrogenase
IFLAKNEJ_04514	CDS	186			COG3385	IS4 family transposase ISCro3
IFLAKNEJ_04515	CDS	231				hypothetical protein
IFLAKNEJ_04516	CDS	510				hypothetical protein
IFLAKNEJ_04517	CDS	618	tdk	2.7.1.21	COG1435	Thymidine kinase
IFLAKNEJ_04518	CDS	414	hns		COG2916	DNA-binding protein H-NS
IFLAKNEJ_04519	CDS	909	galU	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
IFLAKNEJ_04520	CDS	1014	rssB		COG0784	Regulator of RpoS
IFLAKNEJ_04521	CDS	945			COG1752	putative NTE family protein
IFLAKNEJ_04522	CDS	459				hypothetical protein
IFLAKNEJ_04523	CDS	843	purU	3.5.1.10	COG0788	Formyltetrahydrofolate deformylase
IFLAKNEJ_04524	tRNA	85				tRNA-Tyr(gta)
IFLAKNEJ_04525	CDS	678	narI	1.7.5.1	COG2181	Respiratory nitrate reductase 1 gamma chain
IFLAKNEJ_04526	CDS	711	narJ		COG2180	Nitrate reductase molybdenum cofactor assembly chaperone NarJ
IFLAKNEJ_04527	CDS	1539	narH	1.7.5.1	COG1140	Respiratory nitrate reductase 1 beta chain
IFLAKNEJ_04528	CDS	3744	narG	1.7.5.1	COG5013	Respiratory nitrate reductase 1 alpha chain
IFLAKNEJ_04529	CDS	1392	narK		COG2223	Nitrate/nitrite transporter NarK
IFLAKNEJ_04530	CDS	219				hypothetical protein
IFLAKNEJ_04531	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
IFLAKNEJ_04532	CDS	651	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
IFLAKNEJ_04533	CDS	1395				Invasin
IFLAKNEJ_04534	CDS	354	ychN		COG1553	Protein YchN
IFLAKNEJ_04535	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
IFLAKNEJ_04536	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
IFLAKNEJ_04537	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
IFLAKNEJ_04538	CDS	108	ldrA_1			Small toxic polypeptide LdrA
IFLAKNEJ_04539	CDS	108	ldrA_2			Small toxic polypeptide LdrA
IFLAKNEJ_04540	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
IFLAKNEJ_04541	CDS	810				hypothetical protein
IFLAKNEJ_04542	CDS	393	ychQ		COG3094	Protein YchQ
IFLAKNEJ_04543	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
IFLAKNEJ_04544	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
IFLAKNEJ_04545	CDS	1326	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
IFLAKNEJ_04546	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
IFLAKNEJ_04547	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
IFLAKNEJ_04548	CDS	1014	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
IFLAKNEJ_04549	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
IFLAKNEJ_04550	CDS	279				hypothetical protein
IFLAKNEJ_04551	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
IFLAKNEJ_04552	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
IFLAKNEJ_04553	CDS	180				hypothetical protein
IFLAKNEJ_04554	CDS	2868				hypothetical protein
IFLAKNEJ_04555	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
IFLAKNEJ_04556	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
IFLAKNEJ_04557	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
IFLAKNEJ_04558	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
IFLAKNEJ_04559	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
IFLAKNEJ_04560	CDS	441				hypothetical protein
IFLAKNEJ_04561	CDS	255				hypothetical protein
IFLAKNEJ_04562	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
IFLAKNEJ_04563	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
IFLAKNEJ_04564	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
IFLAKNEJ_04565	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
IFLAKNEJ_04566	CDS	150				hypothetical protein
IFLAKNEJ_04567	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
IFLAKNEJ_04568	CDS	1299	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
IFLAKNEJ_04569	CDS	1533				hypothetical protein
IFLAKNEJ_04570	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
IFLAKNEJ_04571	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
IFLAKNEJ_04572	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
IFLAKNEJ_04573	CDS	1269	umuC_2		COG0389	Protein UmuC
IFLAKNEJ_04574	CDS	420	umuD_2	3.4.21.-	COG1974	Protein UmuD
IFLAKNEJ_04575	CDS	111	hlyE_1			Hemolysin E, chromosomal
IFLAKNEJ_04576	CDS	303	hlyE_2			Hemolysin E, chromosomal
IFLAKNEJ_04577	CDS	261	hlyE_3			Hemolysin E, chromosomal
IFLAKNEJ_04578	CDS	570				hypothetical protein
IFLAKNEJ_04579	CDS	660	ycgM		COG0179	putative protein YcgM
IFLAKNEJ_04580	CDS	294	ycgL		COG3100	Protein YcgL
IFLAKNEJ_04581	CDS	402	pliG			Inhibitor of g-type lysozyme
IFLAKNEJ_04582	CDS	369				hypothetical protein
IFLAKNEJ_04583	CDS	696	minC		COG0850	Septum site-determining protein MinC
IFLAKNEJ_04584	CDS	813	minD		COG2894	Septum site-determining protein MinD
IFLAKNEJ_04585	CDS	267	minE		COG0851	Cell division topological specificity factor
IFLAKNEJ_04586	CDS	327				putative autotransporter
IFLAKNEJ_04587	CDS	285				hypothetical protein
IFLAKNEJ_04588	CDS	330	ymgD			putative protein YmgD
IFLAKNEJ_04589	CDS	2322				hypothetical protein
IFLAKNEJ_04590	CDS	210				hypothetical protein
IFLAKNEJ_04591	CDS	219	ymgF			Inner membrane protein YmgF
IFLAKNEJ_04592	CDS	1524	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
IFLAKNEJ_04593	CDS	249	ymgC			putative protein YmgC
IFLAKNEJ_04594	CDS	267	ariR			putative two-component-system connector protein AriR
IFLAKNEJ_04595	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
IFLAKNEJ_04596	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
